algorithm	set of rules specifying how to solve some problem	N
compute	make a mathematical calculation or computation	V
exponentially	in an exponential manner	R
optimal	most desirable possible	J
fast	quickly or rapidly	R
study	give careful consideration	V
procedure	a particular course of action intended to achieve a result	N
study	give careful consideration	V
computer	a machine for performing calculations automatically	N
search	try to locate or discover	V
computer	a machine for performing calculations automatically	N
slow	taking a comparatively long time	J
fast	quickly or rapidly	R
program	a series of steps to be carried	N
procedure	a particular course of action intended to achieve a result	N
efficient	being effective without wasting time	J
analyze	consider in detail and subject to an analysis	V
efficient	being effective without wasting time	J
